name,price,addressLocality
2008 Acura TL,5000,Asheville
2008 Volkswagen Passat Komfort Turbo 2.0L wagon,4950,Asheville
‘13 Subaru Outback 2.5i Limited Pzev AWD,9500,Mills River
2013 Honda Ridgeline,20000,Asheville
2015 Lexus RX350 4WD Only 41K Leather Great Shape,23000,Asheville
2010 4WD Honda CR-V - Camper ready!,8400,Alexander
Honda Acty Truck 4x4 AC,7500,Asheville
2009 Toyota Camry LE,6000,Fletcher
"2008 Lexus IS250, 207k miles, fair condition, $3000 FIRM",3000,Skyland
Nissan Altima for Sale,1000,Asheville
2008 Subaru Outback,6500,Asheville
2019 RAM 1500 Laramie 4x4 36K Miles,29900,Asheville
2015 Subaru Forester Limited,10000,Asheville
2005 Hyundai XG 350 L Sedan,3995,Asheville
2017 Ford Fiesta ST with warranty,15000,Candler
1997 Mustang Cobra $/trade,15000,Asheville
Ride of Your Life (2004 Subaru Forester),5400,Asheville
2020 Audi S4 Premium,40500,Skyland
2014 Siverado,17900,Skyland
2015 Chrysler Town & Country,7200,Asheville
1998 lifted dodge ram 1500,7000,Skyland
88 Buick LeSabre custom,1000,Asheville
2011 Honda Odyssey EX-L,7200,Asheville
Honda Acty Van 4x4,8150,Asheville
Dependable transportation,3300,Asheville
1986 F150- redone,17000,Asheville
2016 Toyota Prius 4S,15450,Asheville
Mercedes-Benz c320 station wagon,600,Skyland
2018 Volkswagen atlas SE w/Tech Pkg Sport Utility 4D,18850,Asheville
2013 Dodge Charger-V8 HEMI-A/T-145k Miles! Runs Great!!,8990,Asheville
Nice 2007 Dodge 1500! 4dr. 4x4,9500,Skyland
2021 Ford F-150 Lariat FX4 SuperCrew 4WD 3.5L EcoBoost [35K Miles],39500,Asheville
Toyota Tacoma 4X4 Pickup Truck,23000,Asheville
Ford Maverick hybrid,32500,Asheville
Suzuki Jimny 4x4 Turbo,8400,Asheville
2006 2500 HD Chevrolet Svc. Body,6900,Fletcher
Ram Promaster 1500 Cargo/Camper,31500,Skyland
2001,3000,Leicester
2006 Toyota Tundra,7900,Asheville
2003 Mercedes Benz SL500 Convertible,22500,Asheville
Cheap Audi A4,6500,Asheville
1987 Bronco II (rare) Carolina Cruiser 4x4,1600,Asheville
"2002 Lexus LX470, 146k, Lift/Bumper, Zero Rust",17000,Asheville
2012 Volvo XC60 T6 R-Design Premier Plus,12995,Asheville
2012 Nissan Leaf SL (Elec Veh.),5600,Asheville
2016 Subaru Forester AWD,9000,Asheville
1999 Ford Econoline E-350 bus,700,Leicester
Eddie Bauer Edition Ford Bronco,12000,Asheville
2023 Tesla 3-Performance Amelia,45000,Weaverville
2006 Scion xB,4500,Asheville
2005 lexus es330 in fantastic condition,6100,Asheville
Ram 1500 BigHorn,28000,Asheville
Ecoline for sale,6000,Asheville
Toyota RAV4,15995,Candler
1968 Ford 100,18000,Asheville
Ford F-150 4x4 Lariat,15000,Skyland
2012 Subaru Forester (Needs Work),4000,Weaverville
2008 BMW 750i,12500,Fairview
2018 RAM BIGHORN 53K+MILES,32000,Asheville
2003 Lincoln Navigator 4x4,5000,Asheville
Ford ranger no trades,7100,Asheville
2007 Jeep wrangler unlimited rubicon sport utility 4x4,16500,Asheville
Subaru forester for sale,8800,Asheville
1992 Pontiac Sunbird Convertible Great Shape $2500 OBO,2500,Asheville
2007 Toyota Matrix XR,6455,Fletcher
2004 Ford F-350 XL 4x4-Utility Bed-6.8L-V10-With Auto Crane!126k Miles,18990,Asheville
2007 VW Jetta Wolfsburg Edition,3300,Fletcher
1990 Mack Tri Axle Dump Truck,25000,Asheville
1958 Cadillac Series 62 Sedan,20000,Asheville
Cheap JEEP,3200,Asheville
2003 FORD FOCUS WITH CLEAN TITLE,900,Asheville
"2013 Volkswagen Jetta Sportswagen 4D, 2.5 L",6500,Asheville
2008 Ford E350 High Top Econoline Van,7900,Weaverville
2018 Jeep Grand Cherokee Limited 4x4,22450,Skyland
"2022 Tesla 3 Rwd Brandy 4,500 miles",40500,Asheville
"1983 Mercedes Benz 380sl, Pearl",21500,Fletcher
2008 Chevrolet silverado 1500 crew cab LTZ Pickup 4D 5 3/4 ft,17500,Asheville
2013 Chevy Express 1500,11500,Asheville
2007 Audi Q7 - Fantastic Condition,7500,Asheville
78 Camaro - Special Price!,2700,Asheville
Subaru Forester 2.5i Premium - enjoy the outdoors,15500,Fletcher
2020 Lincoln Aviator Reserve Sport AWD 34K miles Very Clean,37500,Asheville
2017 Ford Focus SE,6700,Asheville
2011 E350 - New Engine + Transmission,29000,Asheville
1997 Subaru Impreza Outback Sport,2700,Asheville
Daihatsu Microvan,7600,Asheville
2012 BMW 328i (Grey) Automatic,8900,Asheville
Blue 2007 Rav- 4,6650,Asheville
1990 Bronco II,3800,Weaverville
2022 Ford f150 XLT 4x4 SuperCrew Pickup 31K milles Super Clean,39950,Asheville
2020 Ford F150 Sport XLT 4x4 SuperCrew Pickup 29K Miles Super Clean,31700,Asheville
2021 Ford Expedition XLT Sport SUV 8k Miles Super Clean,38900,Asheville
94’ Ford Aerostar Van,2200,Asheville
2019 Honda Accord 1.5L Turbo Sedan [52K Miles],18500,Asheville
2000 Chevrolet Astro van,3900,Fletcher
2014 Dodge Charger R/T Plus *Blacktop Edition* 81k Miles,13400,Asheville
2011 Lincoln Town car,8000,Asheville
2019 ford eco sport 4x4,16700,Skyland
Isuzu 14 Ft Box Truck with Ramp,9000,Asheville
2017 Honda Pilot Touring 4WD 52k Miles,21900,Asheville
2006 Dodge Sprinter,10000,Asheville
06 Chevrolet Silverado Diesel LBZ,8900,Asheville
91 Chevy G20 Camper Van,2500,Asheville
2019 Honda HR-V EX AWD [29K Miles],15900,Asheville
2005 Mini Cooper JCW,6700,Asheville
2008 Jeep Wrangler Sahara,12500,Asheville
1986 Dodge Ram D-250 4x4 Truck+many vintage Dodge Parts,8500,Candler
Dodge ram 1500 4WD,800,Asheville
2008 Volvo C30 T5,2000,Asheville
2017 A 5 coupe 2.0 T SLine Quattro,26000,Fairview
Ford Fusion 2013 SE Sedan 4D,8495,Asheville
VW GTI,9485,Fletcher
"2008 Toyota avalon 224,000 miles",3500,Asheville
2016 BMW M235i,22500,Asheville
2016 Chevrolet Silverado Z71,35000,Asheville
1966 Chevrolet Nova Pro Street Blown Big Block,50000,Skyland
