name,price,addressLocality
Mazda 3 Hatchback - Manual - $1000 OBO,1000,Greenville
04 Toyota Camry,1000,Easley
2000 Mazda MPV,1200,Greer
"07 Ford escape 4 cylinder sold as is. $1,300 OBO",1300,Simpsonville
2011 BMW X5 35i,1300,Greenville
2003 Honda Element,1500,Greenville
Classic 1981 Honda Civic,2400,Greenville
1996 Chevy Caprice - Police Package,2400,Greenville
07 mercury monterrey Luxury,2500,Easley
2007 Durango AWD,2500,Greer
1990 Nissan Hardbody,2500,Greer
2003 Honda pilot,2600,Greenville
2009 kia Sorento 4x4,2700,Fountain Inn
"06 Saturn Vue,Loaded,Runs Amazing,New Brakes,Rotors,Reduced NOW Only",3000,Greenville
"06 Saturn Vue,Loaded,Runs Perfectly,New Brakes,Rotors,No Issues",3000,Greenville
2007 Honda civic lx,3000,Greenville
2009 scion xb,3200,Reidville
2004 Chevrolet Malibu,3250,Simpsonville
2004 Ford F150 Super Cab V8 4.3,3500,Greer
2008 bmw 328i,3500,Reidville
2005 BMW 325i Coupe,3750,Greenville
For sale Toyota camry LE,3900,Greenville
2010 Nissan Rogue,4000,Simpsonville
2004 Jeep Grand Cherokee Limited,4000,Piedmont
2006 HONDA CIVIC LX,4200,Greer
1996 Ford Ranger 2.3L 2WD,4500,Simpsonville
2004 Mercedes E320 Clean 110k miles,4500,Greenville
1999 Mercedes c230 kompressor,4500,Greer
1986 toyota pickup 4x4 sr5,4500,Greenville
87 cadillac,4600,Slater
HONDA SPORT FIT 2009,4700,Greenville
1996 Mazda B4000,4750,Greer
Ford Fusion 2008,4800,Simpsonville
Chevrolet sonic,5000,Greer
Red 2014 Chevy Cruze LT,5000,Greenville
2011 BMW 328i 4 dr Sedan,5000,Greenville
1977 Mark V11 Lincoln Continental,5000,Greenville
2006 Lexus RX400h,5500,Greer
Clean title,5500,Greenville
1989 Chev Caprice LS Brougham,5500,Greer
2007 Hyundai Azera Limited - NEW PRICE,5500,Greenville
2018 Chevrolet Malibu LT,5600,Pelzer
*** 2012 MINI COOPER COUPE ***,5950,Greenville
2005 Chevy Tahoe Z71,6000,Greenville
2007 Mercury Grand Marquis GS Low Miles Like New,6000,Slater
VW CC Sport reliable LOW MILES,6300,Easley
2006 Saturn Vue,6499,Greenville
2009 BMW 535XI AWD,6500,Simpsonville
2004 Subaru Forester,6500,Greenville
"2011 Toyota Camry,NOW NEW PAINT JOB,No Dents,1-owner,Runs Perfectly",6500,Greenville
2005 Volvo S60,6800,Simpsonville
2014 Jeep cherokee Latitude,6995,Fountain Inn
Mercedes cla 250 for sale by owner,6999,Piedmont
2008 Ford explorer 4x4,7200,Greenville
2008 4Runner SR5 2WD,7299,Greenville
Rare 2002 Lincoln Blackwood Truck,7500,Greer
69 mustang factory GT coupe,7500,Greenville
2015 Hyundai Elantra,7500,Easley
1995 Jeep Wrangler Reduced Price,7700,Greenville
2016 Buick Verano Leather,7995,Fountain Inn
2015 Ford Escape,8000,Greer
VW Passat TDI SEL 2014,8435,Greenville
2008 HONDA ACCORD EX-L 2 Door Coupe,8499,Simpsonville
2014 Black Hyundai Velost,8500,Greer
2012 Honda Civic EX,8500,Slater
69 mustang factory GT coupe,8500,Greenville
07 Eddie Bauer explorer 4x4,8500,Greenville
1977 Pontiac Grand Prix SJ,8800,Greer
2012 HONDA ODYSSEY TOURING ELITE SUPER CLEAN (LOW MILES),8999,Greenville
2012 Ford Escape Limited Sport AWD with low miles,9000,Simpsonville
2014 Dodge Dart Limited,9500,Greenville
2013 Ram 1500 5.7Hemi,9600,Piedmont
2011 Ford F150Just 72K Mile,10900,Simpsonville
2016 Toyota Corolla LE,10998,Greenville
Volvo VNL730,11000,Greer
chevrolet van,11000,Piedmont
2005 Hummer H2,11200,Pelzer
2017 Hyundai Sonata - Great condition,11999,Simpsonville
2011 Chevy Express 2500 Extended,12000,Greer
2009 FORD F-150 (LOW MILES),12000,Fountain Inn
1998 Dump Truck,12500,Greer
2015 Nissan Pathfinder,12500,Fountain Inn
1999 Camaro SS 6 speed built,13500,Piedmont
2020 Big Tex Trailer,14000,Greer
2019 Nissan Rogue Sport SV AWD,14900,Easley
2012 Jeep Wrangler Unlimited for sale,15000,Greenville
Mercedes,15500,Greer
2016 Toyota rav4 xle,16000,Fountain Inn
2014 Ram Laramie Crew Cab,16500,Greenville
BMW 335i - 2014,16500,Greer
1995 Impala SS,16750,Piedmont
2006 Corvette convertible,17000,Easley
1940 Ford sedan,17000,Greenville
Truck,17500,Simpsonville
2014 Honda Odyssey Touring Elite,18000,Greer
2018 Nissan Titan,18750,Greenville
Ford Expedition New Tires,19000,Taylors
1994 Nissan 300ZX 5spd Convertible,19000,Simpsonville
